Clans,Pfam_List,Pfam_List_in_combine
CL0036,"['PF00016', 'PF00113', 'PF00121', 'PF00128', 'PF00150', 'PF00215', 'PF00218', 'PF00224', 'PF00232', 'PF00248', 'PF00290', 'PF00296', 'PF00311', 'PF00331', 'PF00332', 'PF00387', 'PF00388', 'PF00449', 'PF00463', 'PF00478', 'PF00490', 'PF00682', 'PF00697', 'PF00701', 'PF00704', 'PF00724', 'PF00728', 'PF00793', 'PF00809', 'PF00834', 'PF00923', 'PF00933', 'PF00962', 'PF00977', 'PF01026', 'PF01055', 'PF01070', 'PF01081', 'PF01116', 'PF01120', 'PF01168', 'PF01180', 'PF01183', 'PF01207', 'PF01208', 'PF01229', 'PF01244', 'PF01261', 'PF01274', 'PF01301', 'PF01373', 'PF01474', 'PF01487', 'PF01619', 'PF01630', 'PF01642', 'PF01645', 'PF01680', 'PF01702', 'PF01717', 'PF01729', 'PF01791', 'PF01876', 'PF01884', 'PF01904', 'PF01964', 'PF01979', 'PF02007', 'PF02055', 'PF02057', 'PF02065', 'PF02126', 'PF02156', 'PF02219', 'PF02286', 'PF02324', 'PF02446', 'PF02449', 'PF02548', 'PF02574', 'PF02581', 'PF02614', 'PF02638', 'PF02679', 'PF02784', 'PF02811', 'PF02836', 'PF02896', 'PF03009', 'PF03060', 'PF03102', 'PF03198', 'PF03328', 'PF03437', 'PF03473', 'PF03537', 'PF03599', 'PF03644', 'PF03659', 'PF03662', 'PF03740', 'PF03786', 'PF03851', 'PF03932', 'PF04055', 'PF04095', 'PF04131', 'PF04309', 'PF04476', 'PF04481', 'PF04898', 'PF04909', 'PF05089', 'PF05114', 'PF05369', 'PF05690', 'PF05691', 'PF05853', 'PF06134', 'PF06187', 'PF06368', 'PF06751', 'PF07071', 'PF07476', 'PF07488', 'PF07505', 'PF07555', 'PF07745', 'PF07969', 'PF08013', 'PF08267', 'PF08306', 'PF08924', 'PF09043', 'PF09370', 'PF09863', 'PF10223', 'PF10566', 'PF11308', 'PF11790', 'PF12138', 'PF12228', 'PF12876', 'PF12890', 'PF12891', 'PF12905', 'PF13199', 'PF13200', 'PF13204', 'PF13263', 'PF13320', 'PF13378', 'PF13653', 'PF13714', 'PF14010', 'PF14307', 'PF14488', 'PF14587', 'PF14701', 'PF14871', 'PF14872', 'PF14883', 'PF14885', 'PF15617', 'PF15979', 'PF16126', 'PF16141', 'PF16154', 'PF16257', 'PF16317', 'PF16387', 'PF16402', 'PF16499', 'PF16552', 'PF16670', 'PF17285', 'PF18952', 'PF19200', 'PF19238', 'PF19326', 'PF19345', 'PF19567', 'PF19773', 'PF19799', 'PF20903']","['PF00113', 'PF00121', 'PF00215', 'PF00232', 'PF00478', 'PF00490', 'PF00682', 'PF00701', 'PF00728', 'PF00809', 'PF00834', 'PF00923', 'PF00962', 'PF01026', 'PF01055', 'PF01070', 'PF01120', 'PF01168', 'PF01180', 'PF01207', 'PF01208', 'PF01229', 'PF01244', 'PF01301', 'PF01619', 'PF01630', 'PF01642', 'PF01702', 'PF01729', 'PF01791', 'PF01876', 'PF02055', 'PF02057', 'PF02126', 'PF02219', 'PF02574', 'PF02784', 'PF02836', 'PF03102', 'PF03328', 'PF03473', 'PF03644', 'PF03662', 'PF03932', 'PF04095', 'PF05089', 'PF07555', 'PF10223', 'PF13378', 'PF14701', 'PF16317', 'PF16499', 'PF17285', 'PF19326']"
CL0037,"['PF00062', 'PF00182', 'PF00912', 'PF00959', 'PF01374', 'PF01464', 'PF01832', 'PF03998', 'PF05497', 'PF05838', 'PF06737', 'PF06871', 'PF07759', 'PF10464', 'PF11508', 'PF13406', 'PF13647', 'PF13702', 'PF16754', 'PF18013', 'PF18896', 'PF19489', 'PF21087', 'PF21277', 'PF21480']","['PF00062', 'PF03998']"
CL0039,"['PF00133', 'PF00579', 'PF00582', 'PF00733', 'PF00749', 'PF00750', 'PF00764', 'PF00875', 'PF01012', 'PF01171', 'PF01406', 'PF01467', 'PF01507', 'PF01747', 'PF01902', 'PF01921', 'PF02540', 'PF02568', 'PF02569', 'PF02677', 'PF03054', 'PF03720', 'PF04244', 'PF05636', 'PF06508', 'PF06574', 'PF08218', 'PF09334', 'PF10079', 'PF13603', 'PF16581', 'PF16715']","['PF00133', 'PF00579', 'PF00749', 'PF00750', 'PF00764', 'PF00875', 'PF01012', 'PF01406', 'PF01507', 'PF01747', 'PF01902', 'PF02540', 'PF03720', 'PF09334']"
CL0040,"['PF00152', 'PF00587', 'PF01409', 'PF01411', 'PF02091', 'PF03099', 'PF03590', 'PF04017', 'PF13393', 'PF16917', 'PF17759']","['PF00152', 'PF00587', 'PF01409', 'PF01411', 'PF13393', 'PF17759']"
CL0041,"['PF00531', 'PF00619', 'PF01335', 'PF02758', 'PF14786', 'PF16739', 'PF18461', 'PF19954', 'PF19955', 'PF19956', 'PF19957', 'PF19958', 'PF19960', 'PF19961', 'PF20689', 'PF20690', 'PF20707', 'PF21733']","['PF01335', 'PF02758', 'PF16739', 'PF18461']"
CL0042,"['PF00258', 'PF02525', 'PF03358', 'PF07972', 'PF12641', 'PF12682', 'PF12724']","['PF00258', 'PF02525']"
CL0043,"['PF00148', 'PF00762', 'PF01297', 'PF01497', 'PF01903', 'PF06180', 'PF11844']",['PF00762']
CL0044,"['PF00210', 'PF00268', 'PF01786', 'PF02332', 'PF02915', 'PF03232', 'PF03405', 'PF03713', 'PF04305', 'PF05067', 'PF05138', 'PF05974', 'PF06175', 'PF07875', 'PF09537', 'PF09968', 'PF11266', 'PF11553', 'PF11583', 'PF12902', 'PF13628', 'PF13668', 'PF13794', 'PF14530', 'PF18536', 'PF19825', 'PF20402']","['PF00210', 'PF00268']"
CL0045,"['PF00301', 'PF01215', 'PF06397', 'PF08421', 'PF10276', 'PF21349']","['PF01215', 'PF10276']"
CL0046,"['PF00108', 'PF00109', 'PF00195', 'PF01154', 'PF02797', 'PF02801', 'PF02803', 'PF07451', 'PF08392', 'PF08540', 'PF08541', 'PF08545', 'PF11394', 'PF13723', 'PF16197', 'PF20995']","['PF00108', 'PF01154', 'PF02803', 'PF08540']"
CL0047,"['PF02727', 'PF02728', 'PF09248']","['PF02727', 'PF02728']"
CL0048,"['PF00811', 'PF03548', 'PF03550', 'PF03888', 'PF04507', 'PF04788', 'PF06475', 'PF07044', 'PF07161', 'PF07608', 'PF09697', 'PF09865', 'PF11306', 'PF11659', 'PF11904', 'PF14125', 'PF14371', 'PF16584', 'PF17131', 'PF18234', 'PF19574', 'PF19630', 'PF20316']","['PF00811', 'PF11904']"
CL0050,"['PF01575', 'PF01643', 'PF02551', 'PF03061', 'PF03756', 'PF07977', 'PF09500', 'PF10862', 'PF13279', 'PF13452', 'PF13622', 'PF14539', 'PF14765', 'PF18238', 'PF19315', 'PF20789', 'PF20791', 'PF21089']",['PF01575']
CL0051,"['PF00866', 'PF02136', 'PF02982', 'PF03284', 'PF04280', 'PF04335', 'PF05223', 'PF05494', 'PF07080', 'PF07107', 'PF07366', 'PF07858', 'PF07961', 'PF08294', 'PF08332', 'PF08472', 'PF08695', 'PF10184', 'PF10429', 'PF11393', 'PF11444', 'PF11533', 'PF12642', 'PF12680', 'PF12707', 'PF12870', 'PF12883', 'PF12893', 'PF13026', 'PF13211', 'PF13355', 'PF13474', 'PF13577', 'PF14254', 'PF14534', 'PF14729', 'PF15008', 'PF16022', 'PF16111', 'PF16156', 'PF16247', 'PF16800', 'PF17117', 'PF17118', 'PF17354', 'PF17775', 'PF18042', 'PF20409', 'PF20462', 'PF20795', 'PF20839', 'PF20840', 'PF21497']","['PF02136', 'PF04280', 'PF08294', 'PF08695', 'PF10184', 'PF15008']"
CL0053,"['PF00103', 'PF00143', 'PF00489', 'PF00714', 'PF00715', 'PF00726', 'PF00727', 'PF00758', 'PF01109', 'PF01110', 'PF01291', 'PF01415', 'PF02024', 'PF02025', 'PF02059', 'PF02372', 'PF02404', 'PF02947', 'PF03039', 'PF03487', 'PF05337', 'PF06875', 'PF07400', 'PF14565', 'PF15036', 'PF15177', 'PF15216', 'PF16647', 'PF16649']","['PF00103', 'PF00143', 'PF00489', 'PF00714', 'PF00715', 'PF00726', 'PF00727', 'PF00758', 'PF01109', 'PF01110', 'PF01291', 'PF01415', 'PF02024', 'PF02025', 'PF02059', 'PF02372', 'PF02404', 'PF02947', 'PF03039', 'PF03487', 'PF05337', 'PF06875', 'PF07400', 'PF14565', 'PF15036', 'PF15177', 'PF15216', 'PF16647', 'PF16649']"
CL0054,"['PF00304', 'PF00451', 'PF00537', 'PF01097', 'PF05294', 'PF05453', 'PF06876', 'PF07333', 'PF08086', 'PF09132', 'PF10868', 'PF11415', 'PF14865', 'PF14866', 'PF18251']",[]
CL0055,"['PF00073', 'PF00500', 'PF00688', 'PF00718', 'PF00729', 'PF00738', 'PF00760', 'PF00844', 'PF00894', 'PF00915', 'PF00983', 'PF01318', 'PF01766', 'PF01787', 'PF01829', 'PF02226', 'PF02247', 'PF02248', 'PF02443', 'PF02956', 'PF03014', 'PF03066', 'PF03115', 'PF03340', 'PF03391', 'PF03566', 'PF03678', 'PF03688', 'PF03689', 'PF03898', 'PF04660', 'PF06184', 'PF08435', 'PF08462', 'PF08762', 'PF08935', 'PF11175', 'PF11492', 'PF11729', 'PF12264', 'PF12944', 'PF15414', 'PF16530', 'PF16903', 'PF17800', 'PF18628', 'PF21190', 'PF21628']",['PF03066']
CL0056,"['PF00059', 'PF00193', 'PF01413', 'PF03440', 'PF03781', 'PF05473', 'PF05689', 'PF05966', 'PF06482', 'PF07588', 'PF07979', 'PF08391', 'PF16825']","['PF00193', 'PF01413', 'PF06482', 'PF08391']"
CL0057,"['PF01340', 'PF01402', 'PF02697', 'PF03693', 'PF03869', 'PF04221', 'PF05509', 'PF05534', 'PF05713', 'PF07181', 'PF07328', 'PF07362', 'PF07704', 'PF07764', 'PF07878', 'PF08681', 'PF08870', 'PF08972', 'PF09274', 'PF09386', 'PF09957', 'PF10723', 'PF10784', 'PF10802', 'PF10884', 'PF11020', 'PF11423', 'PF11903', 'PF12441', 'PF12651', 'PF13062', 'PF13132', 'PF13467', 'PF14384', 'PF15919', 'PF15970', 'PF16762', 'PF16777', 'PF17206', 'PF17341', 'PF17414', 'PF17723', 'PF18064', 'PF19514', 'PF19807', 'PF19839', 'PF19891', 'PF20605', 'PF21217', 'PF21432', 'PF21748', 'PF21775']",[]
CL0059,"['PF00432', 'PF00723', 'PF00759', 'PF01122', 'PF01204', 'PF01270', 'PF01397', 'PF01532', 'PF02011', 'PF03200', 'PF03632', 'PF03663', 'PF04685', 'PF04850', 'PF05147', 'PF05426', 'PF06202', 'PF06662', 'PF06824', 'PF06917', 'PF07221', 'PF07470', 'PF07678', 'PF07944', 'PF07971', 'PF08124', 'PF08760', 'PF09093', 'PF09492', 'PF10022', 'PF10091', 'PF11329', 'PF12899', 'PF13243', 'PF13249', 'PF16332', 'PF16889', 'PF17167', 'PF17389', 'PF17652', 'PF18566', 'PF21346']","['PF00432', 'PF00723', 'PF01122', 'PF01204', 'PF01532', 'PF03200', 'PF03632', 'PF04685', 'PF05147', 'PF06202', 'PF06662', 'PF07221', 'PF07678', 'PF13243', 'PF13249', 'PF16332']"
CL0060,"['PF00705', 'PF00712', 'PF02144', 'PF02282', 'PF02747', 'PF02767', 'PF02768', 'PF02916', 'PF03325', 'PF04005', 'PF04139', 'PF04929', 'PF09116']","['PF00705', 'PF02144', 'PF02747', 'PF04005', 'PF04139']"
CL0061,"['PF00155', 'PF00202', 'PF00266', 'PF00282', 'PF00464', 'PF01041', 'PF01053', 'PF01212', 'PF01276', 'PF02347', 'PF03841', 'PF04864', 'PF05889', 'PF06338', 'PF06838', 'PF12897', 'PF21391', 'PF21478']","['PF00202', 'PF00282', 'PF00464', 'PF01053', 'PF01212', 'PF02347', 'PF05889']"
CL0062,"['PF00209', 'PF00324', 'PF00474', 'PF00860', 'PF00916', 'PF00955', 'PF01235', 'PF01490', 'PF01566', 'PF02028', 'PF02133', 'PF02554', 'PF02705', 'PF03222', 'PF03594', 'PF03845', 'PF05525', 'PF11840', 'PF13520', 'PF13906', 'PF16983']","['PF00324', 'PF00474', 'PF00860', 'PF00916', 'PF01566', 'PF13906']"
CL0063,"['PF00044', 'PF00056', 'PF00070', 'PF00091', 'PF00106', 'PF00107', 'PF00145', 'PF00185', 'PF00205', 'PF00208', 'PF00289', 'PF00291', 'PF00389', 'PF00398', 'PF00455', 'PF00479', 'PF00670', 'PF00732', 'PF00743', 'PF00766', 'PF00890', 'PF00891', 'PF00899', 'PF00996', 'PF01008', 'PF01073', 'PF01113', 'PF01118', 'PF01134', 'PF01135', 'PF01144', 'PF01170', 'PF01175', 'PF01182', 'PF01189', 'PF01209', 'PF01210', 'PF01225', 'PF01232', 'PF01234', 'PF01262', 'PF01266', 'PF01269', 'PF01358', 'PF01370', 'PF01408', 'PF01488', 'PF01494', 'PF01555', 'PF01564', 'PF01593', 'PF01596', 'PF01728', 'PF01739', 'PF01795', 'PF01812', 'PF01820', 'PF01861', 'PF01916', 'PF01946', 'PF02005', 'PF02006', 'PF02056', 'PF02078', 'PF02086', 'PF02146', 'PF02153', 'PF02233', 'PF02254', 'PF02353', 'PF02384', 'PF02390', 'PF02423', 'PF02475', 'PF02527', 'PF02550', 'PF02552', 'PF02558', 'PF02571', 'PF02589', 'PF02593', 'PF02629', 'PF02636', 'PF02670', 'PF02719', 'PF02737', 'PF02826', 'PF02844', 'PF02882', 'PF02951', 'PF03059', 'PF03141', 'PF03199', 'PF03269', 'PF03275', 'PF03291', 'PF03341', 'PF03435', 'PF03446', 'PF03447', 'PF03486', 'PF03492', 'PF03514', 'PF03602', 'PF03686', 'PF03721', 'PF03807', 'PF03808', 'PF03848', 'PF03853', 'PF03917', 'PF03949', 'PF04016', 'PF04072', 'PF04127', 'PF04198', 'PF04223', 'PF04321', 'PF04378', 'PF04445', 'PF04536', 'PF04672', 'PF04723', 'PF04816', 'PF04820', 'PF04989', 'PF05050', 'PF05059', 'PF05063', 'PF05088', 'PF05148', 'PF05175', 'PF05185', 'PF05206', 'PF05219', 'PF05221', 'PF05222', 'PF05368', 'PF05401', 'PF05430', 'PF05575', 'PF05711', 'PF05724', 'PF05834', 'PF05891', 'PF05958', 'PF05971', 'PF06026', 'PF06039', 'PF06080', 'PF06100', 'PF06325', 'PF06460', 'PF06471', 'PF06690', 'PF06849', 'PF06859', 'PF06962', 'PF07021', 'PF07055', 'PF07075', 'PF07091', 'PF07109', 'PF07156', 'PF07279', 'PF07669', 'PF07757', 'PF07942', 'PF07985', 'PF07991', 'PF07992', 'PF07993', 'PF07994', 'PF08003', 'PF08123', 'PF08241', 'PF08242', 'PF08484', 'PF08485', 'PF08491', 'PF08643', 'PF08659', 'PF08704', 'PF08732', 'PF09243', 'PF09445', 'PF10017', 'PF10128', 'PF10237', 'PF10294', 'PF10354', 'PF10644', 'PF10672', 'PF10727', 'PF11017', 'PF11312', 'PF11599', 'PF11890', 'PF11968', 'PF12147', 'PF12241', 'PF12242', 'PF12692', 'PF12831', 'PF12847', 'PF13241', 'PF13288', 'PF13289', 'PF13336', 'PF13380', 'PF13383', 'PF13434', 'PF13450', 'PF13454', 'PF13460', 'PF13478', 'PF13489', 'PF13561', 'PF13578', 'PF13602', 'PF13649', 'PF13679', 'PF13727', 'PF13738', 'PF13809', 'PF13847', 'PF14314', 'PF14881', 'PF16263', 'PF16363', 'PF16582', 'PF16803', 'PF16912', 'PF16924', 'PF16957', 'PF17125', 'PF17173', 'PF17174', 'PF17175', 'PF17396', 'PF17836', 'PF17927', 'PF17930', 'PF18030', 'PF18086', 'PF18321', 'PF18706', 'PF19587', 'PF20005', 'PF20473', 'PF20553', 'PF20922', 'PF21065', 'PF21066', 'PF21068', 'PF21148', 'PF21149', 'PF21162', 'PF21360', 'PF21377', 'PF21394', 'PF21512', 'PF21570', 'PF21688', 'PF21706', 'PF21729', 'PF21777', 'PF21799']","['PF00044', 'PF00056', 'PF00185', 'PF00205', 'PF00208', 'PF00289', 'PF00398', 'PF00479', 'PF00670', 'PF00766', 'PF00890', 'PF00996', 'PF01008', 'PF01073', 'PF01134', 'PF01144', 'PF01170', 'PF01175', 'PF01182', 'PF01189', 'PF01209', 'PF01210', 'PF01234', 'PF01262', 'PF01269', 'PF01596', 'PF01728', 'PF01795', 'PF01812', 'PF01916', 'PF02005', 'PF02078', 'PF02146', 'PF02233', 'PF02390', 'PF02423', 'PF02475', 'PF02629', 'PF02636', 'PF02737', 'PF02844', 'PF02882', 'PF03199', 'PF03291', 'PF03435', 'PF03446', 'PF03447', 'PF03721', 'PF03807', 'PF03853', 'PF03917', 'PF03949', 'PF04072', 'PF04127', 'PF04321', 'PF05063', 'PF05148', 'PF05185', 'PF05206', 'PF05219', 'PF05221', 'PF05222', 'PF05724', 'PF05891', 'PF05958', 'PF05971', 'PF06026', 'PF06080', 'PF06859', 'PF07156', 'PF07757', 'PF07942', 'PF07985', 'PF07994', 'PF08123', 'PF08242', 'PF08491', 'PF08704', 'PF09243', 'PF09445', 'PF10237', 'PF10354', 'PF10644', 'PF11968', 'PF13289', 'PF13383', 'PF13679', 'PF14881', 'PF16363', 'PF17125', 'PF17927', 'PF18086', 'PF18706']"
CL0064,"['PF00999', 'PF01758', 'PF03547', 'PF03601', 'PF03616', 'PF03812', 'PF03956', 'PF03977', 'PF04172', 'PF05684', 'PF05982', 'PF06826', 'PF06965', 'PF11299', 'PF13593']","['PF01758', 'PF03547']"
CL0065,"['PF00134', 'PF00382', 'PF01857', 'PF01858', 'PF02984', 'PF03261', 'PF08613', 'PF09080', 'PF09241', 'PF11934', 'PF16899', 'PF18542', 'PF20644', 'PF20645', 'PF21608', 'PF21797']","['PF00382', 'PF01857', 'PF01858', 'PF03261', 'PF08613', 'PF11934', 'PF16899']"
CL0066,"['PF00167', 'PF00197', 'PF00340', 'PF00652', 'PF02815', 'PF03260', 'PF03498', 'PF04601', 'PF05270', 'PF05588', 'PF06229', 'PF06268', 'PF07468', 'PF07951', 'PF08470', 'PF08709', 'PF09270', 'PF10467', 'PF14200', 'PF15095', 'PF16850', 'PF18021', 'PF18022', 'PF21595']","['PF00167', 'PF00340', 'PF00652', 'PF02815', 'PF05270', 'PF06229', 'PF06268', 'PF08709', 'PF09270', 'PF15095']"
CL0067,"['PF00318', 'PF00342', 'PF01380', 'PF10432', 'PF10740', 'PF12163', 'PF13580', 'PF15698', 'PF18353']","['PF00318', 'PF00342']"
CL0068,"['PF02197', 'PF05186']","['PF02197', 'PF05186']"
CL0069,"['PF01353', 'PF07474']",['PF07474']
CL0070,"['PF00585', 'PF01842', 'PF04359', 'PF08753', 'PF09383', 'PF10000', 'PF10369', 'PF13291', 'PF13710', 'PF13740', 'PF13840', 'PF19571', 'PF21075', 'PF21076', 'PF21077', 'PF21086', 'PF21389', 'PF21417', 'PF21578', 'PF21699', 'PF21770']","['PF01842', 'PF13840']"
CL0071,"['PF00300', 'PF00328']",['PF00328']
CL0072,"['PF00174', 'PF00240', 'PF00564', 'PF00778', 'PF00788', 'PF00789', 'PF00794', 'PF01378', 'PF02017', 'PF02192', 'PF02196', 'PF02246', 'PF02309', 'PF02597', 'PF02821', 'PF02824', 'PF02876', 'PF02991', 'PF03607', 'PF03658', 'PF03671', 'PF03990', 'PF04106', 'PF04110', 'PF04663', 'PF04921', 'PF06071', 'PF06136', 'PF06234', 'PF06251', 'PF06458', 'PF06487', 'PF06805', 'PF08154', 'PF08783', 'PF08817', 'PF09138', 'PF09379', 'PF09469', 'PF09479', 'PF10302', 'PF10531', 'PF10790', 'PF11434', 'PF11470', 'PF11543', 'PF11620', 'PF11973', 'PF11976', 'PF12053', 'PF12436', 'PF12754', 'PF13019', 'PF13881', 'PF14009', 'PF14451', 'PF14452', 'PF14453', 'PF14454', 'PF14478', 'PF14533', 'PF14560', 'PF14836', 'PF14847', 'PF16207', 'PF16511', 'PF16534', 'PF16978', 'PF17965', 'PF17966', 'PF18036', 'PF18037', 'PF18038', 'PF18124', 'PF18281', 'PF18382', 'PF18396', 'PF18655', 'PF18877', 'PF18998', 'PF20147', 'PF20170', 'PF20616', 'PF20638', 'PF21273', 'PF21403', 'PF21573', 'PF21696', 'PF21712', 'PF21801']","['PF00174', 'PF00564', 'PF00778', 'PF00789', 'PF00794', 'PF02017', 'PF02192', 'PF02196', 'PF02824', 'PF02991', 'PF03607', 'PF03671', 'PF04106', 'PF04110', 'PF04921', 'PF06071', 'PF06487', 'PF08154', 'PF08783', 'PF09138', 'PF09469', 'PF11470', 'PF11543', 'PF11620', 'PF11976', 'PF12053', 'PF12436', 'PF13019', 'PF13881', 'PF14478', 'PF14533', 'PF14560', 'PF14836', 'PF16207', 'PF16511', 'PF16534', 'PF16978', 'PF18036', 'PF18037', 'PF18038', 'PF18124', 'PF18382', 'PF18396', 'PF20170']"
CL0074,"['PF00540', 'PF01140', 'PF02228', 'PF02337', 'PF02813', 'PF08723']",['PF02337']
CL0075,"['PF00323', 'PF00706', 'PF00711', 'PF00819', 'PF07936', 'PF08131', 'PF08189', 'PF10468', 'PF13841', 'PF14862', 'PF17333', 'PF17858', 'PF17859', 'PF17860', 'PF17861']","['PF00323', 'PF00711', 'PF13841', 'PF17333']"
CL0077,"['PF00941', 'PF01565']",['PF00941']
CL0079,"['PF00007', 'PF00019', 'PF00236', 'PF00243', 'PF00341', 'PF02035', 'PF03045', 'PF05463', 'PF05806', 'PF06083', 'PF16077', 'PF17486', 'PF17491', 'PF17492']","['PF00007', 'PF00236', 'PF00243', 'PF00341', 'PF03045', 'PF05463', 'PF06083']"
CL0080,"['PF00838', 'PF01641', 'PF03226', 'PF04248', 'PF04421', 'PF04828', 'PF11648', 'PF14976']","['PF00838', 'PF01641', 'PF03226', 'PF04421', 'PF04828', 'PF11648', 'PF14976']"
CL0081,"['PF00847', 'PF01429', 'PF02920', 'PF09003', 'PF10729', 'PF12167', 'PF13356', 'PF14657', 'PF16564', 'PF17293']","['PF01429', 'PF16564']"
CL0082,"['PF01187', 'PF01361', 'PF02962', 'PF08921', 'PF14552', 'PF14832', 'PF21420']",['PF01187']
CL0083,"['PF00734', 'PF02819', 'PF02950', 'PF05039', 'PF05353', 'PF05374', 'PF05980', 'PF06357', 'PF06373', 'PF07359', 'PF07473', 'PF07740', 'PF07945', 'PF08008', 'PF08027', 'PF08087', 'PF08089', 'PF08091', 'PF08092', 'PF08093', 'PF08094', 'PF08099', 'PF08115', 'PF08117', 'PF10530', 'PF11406', 'PF11410', 'PF11478', 'PF11581', 'PF11703', 'PF15270', 'PF16720', 'PF16839', 'PF16981', 'PF17983', 'PF18687']","['PF05039', 'PF06373', 'PF07359']"
CL0084,"['PF00644', 'PF01129', 'PF01375', 'PF01885', 'PF02027', 'PF02763', 'PF02917', 'PF03496', 'PF06108', 'PF07461', 'PF08808', 'PF09009', 'PF09143', 'PF09156', 'PF09475', 'PF10386', 'PF12120', 'PF13151', 'PF14021', 'PF14487', 'PF15538', 'PF18648', 'PF18760', 'PF19048', 'PF21641']","['PF01129', 'PF01885']"
CL0087,"['PF00441', 'PF01756', 'PF03241', 'PF08028', 'PF21263', 'PF21343']",['PF01756']
CL0088,"['PF00245', 'PF00884', 'PF01663', 'PF01676', 'PF02995', 'PF04185', 'PF07394', 'PF08665', 'PF14707', 'PF16347']","['PF00245', 'PF16347']"
CL0089,"['PF00543', 'PF02641', 'PF03091', 'PF06153', 'PF08029', 'PF09413', 'PF10035', 'PF10126', 'PF11582', 'PF12122', 'PF12123', 'PF16733']",['PF03091']
CL0090,"['PF00042', 'PF00502', 'PF01152', 'PF08678', 'PF09385', 'PF09995', 'PF11563', 'PF14361', 'PF20302']","['PF00042', 'PF20302']"
CL0091,"['PF00175', 'PF04954', 'PF08030', 'PF14859']",['PF08030']
CL0092,"['PF00241', 'PF00626']","['PF00241', 'PF00626']"
CL0093,"['PF00656', 'PF01364', 'PF01650', 'PF03415', 'PF03568', 'PF11713', 'PF12770', 'PF14252', 'PF14538']","['PF01650', 'PF14252', 'PF14538']"
CL0094,"['PF00675', 'PF02664', 'PF03410', 'PF05193', 'PF07973', 'PF08367', 'PF16187', 'PF18490']","['PF07973', 'PF08367', 'PF16187']"
CL0095,"['PF01750', 'PF03418', 'PF06866']",[]
CL0096,"['PF00299', 'PF02977']",[]
CL0098,"['PF00588', 'PF01746', 'PF01994', 'PF02590', 'PF02598', 'PF03587', 'PF03942', 'PF04013', 'PF04034', 'PF04252', 'PF04407', 'PF04452', 'PF09895', 'PF09936', 'PF12105', 'PF14419']","['PF01746', 'PF02598', 'PF03587', 'PF03942', 'PF04034']"
CL0099,"['PF00171', 'PF00815', 'PF05893', 'PF07368']",[]
CL0100,"['PF00229', 'PF00386', 'PF05475', 'PF08949', 'PF12956', 'PF16532', 'PF18573', 'PF21592']",['PF00229']
CL0101,"['PF01248', 'PF03465', 'PF04705', 'PF05025', 'PF08032', 'PF08228', 'PF15608']","['PF01248', 'PF03465', 'PF05025', 'PF08032']"
CL0103,"['PF01179', 'PF01263', 'PF02278', 'PF02929', 'PF03512', 'PF03636', 'PF03639', 'PF04349', 'PF06045', 'PF06165', 'PF07748', 'PF07940', 'PF09095', 'PF09137', 'PF09284', 'PF12215', 'PF13802', 'PF14486', 'PF14498', 'PF14508', 'PF14614', 'PF14849', 'PF16477', 'PF16875', 'PF16923', 'PF17128', 'PF17168', 'PF17678', 'PF18080', 'PF18438', 'PF18961', 'PF20938', 'PF21152', 'PF21250', 'PF21345', 'PF21568']","['PF01179', 'PF07748', 'PF12215', 'PF13802', 'PF16923']"
CL0104,"['PF00903', 'PF06185', 'PF06983', 'PF07063', 'PF12681', 'PF13468', 'PF13669', 'PF14506', 'PF14507', 'PF14696', 'PF18029', 'PF18711', 'PF19581', 'PF20066', 'PF21207', 'PF21596', 'PF21701', 'PF21723']",[]
CL0105,"['PF00246', 'PF00274', 'PF00278', 'PF00297', 'PF00358', 'PF00364', 'PF00529', 'PF00667', 'PF00677', 'PF00842', 'PF00883', 'PF00970', 'PF01247', 'PF01333', 'PF01512', 'PF01520', 'PF01546', 'PF01551', 'PF01597', 'PF01687', 'PF01782', 'PF01954', 'PF01980', 'PF01982', 'PF02127', 'PF02321', 'PF02749', 'PF02785', 'PF02843', 'PF02874', 'PF02952', 'PF03144', 'PF04389', 'PF04410', 'PF04950', 'PF04952', 'PF05013', 'PF05343', 'PF05450', 'PF05896', 'PF05908', 'PF07454', 'PF07831', 'PF08021', 'PF08022', 'PF08142', 'PF08408', 'PF08922', 'PF09378', 'PF09891', 'PF10011', 'PF10994', 'PF11762', 'PF12700', 'PF13375', 'PF13437', 'PF13533', 'PF14031', 'PF14382', 'PF14505', 'PF14578', 'PF14758', 'PF16190', 'PF16254', 'PF16325', 'PF16538', 'PF16572', 'PF16576', 'PF16580', 'PF17033', 'PF17767', 'PF17769', 'PF17873', 'PF18105', 'PF18141', 'PF18266', 'PF18311', 'PF18603', 'PF19335', 'PF19501', 'PF21123', 'PF21131', 'PF21138', 'PF21143', 'PF21208', 'PF21244', 'PF21261', 'PF21440', 'PF21668']","['PF00274', 'PF00278', 'PF00297', 'PF00667', 'PF00883', 'PF00970', 'PF01247', 'PF01512', 'PF01597', 'PF01980', 'PF02127', 'PF02749', 'PF02785', 'PF02843', 'PF02874', 'PF03144', 'PF04410', 'PF04950', 'PF04952', 'PF07831', 'PF08022', 'PF08142', 'PF14382', 'PF16190', 'PF17767', 'PF18141', 'PF18266']"
